45501,"(117,)",You ,[You/PRP],(ROOT (FRAG (NP (PRP You))))
45501,"(118, 119, 120)",So I ate  a whole packet  all of them !,"[So/IN, I/PRP, ate/VBD, a/DT, whole/JJ, packet/NN, all/DT, of/IN, them/PRP, !/.]",(ROOT (S (IN So) (NP (PRP I)) (VP (VBD ate) (NP (NP (DT a) (JJ whole) (NN packet)) (PP (ADVP (DT all)) (IN of) (NP (PRP them))))) (. !)))
45501,"(121,)",Ha !,"[Ha/NNP, !/.]",(ROOT (FRAG (NP (NNP Ha)) (. !)))
45501,"(122,)",Ha ha ha !,"[Ha/NNP, ha/NNP, ha/NNP, !/.]",(ROOT (NP (NNP Ha) (NNP ha) (NNP ha) (. !)))
45501,"(123,)",Look at them cornflakes .,"[Look/VB, at/IN, them/PRP, cornflakes/NNS, ./.]",(ROOT (S (VP (VB Look) (PP (IN at) (NP (PRP them) (NNS cornflakes)))) (. .)))
45501,"(124, 125)"," then    Jean , you 'll need proper su- so you 'll need sunglasses .","[then/RB, Jean/NNP, ,/,, you/PRP, 'll/MD, need/VB, proper/JJ, su-/NN, so/IN, you/PRP, 'll/MD, need/VB, sunglasses/NNS, ./.]","(ROOT (S (PP (RB then) (NP (NNP Jean))) (, ,) (NP (PRP you)) (VP (MD 'll) (VP (VB need) (NP (JJ proper) (NN su-)) (SBAR (IN so) (S (NP (PRP you)) (VP (MD 'll) (VP (VB need) (NP (NNS sunglasses)))))))) (. .)))"
45501,"(126,)",Window open ?,"[Window/NN, open/VB, ?/.]",(ROOT (S (NP (NN Window)) (VP (VB open)) (. ?)))
45501,"(127,)",No .,"[No/DT, ./.]",(ROOT (FRAG (NP (DT No)) (. .)))
45501,"(128,)",Does the li-  does the light not hurt your eye   !,"[Does/VBZ, the/DT, li-/NN, does/VBZ, the/DT, light/NN, not/RB, hurt/VB, your/PRP$, eye/NN, !/.]",(ROOT (S (VP (VBZ Does) (SBAR (S (NP (DT the) (NN li-)) (VP (VBZ does) (S (NP (DT the) (NN light)) (RB not) (VP (VB hurt) (NP (PRP$ your) (NN eye)))))))) (. !)))
45501,"(129,)",Do you want the fan on ?,"[Do/VB, you/PRP, want/VBP, the/DT, fan/NN, on/IN, ?/.]",(ROOT (SQ (VP (VB Do) (SBAR (S (NP (PRP you)) (VP (VBP want) (NP (DT the) (NN fan)) (PP (IN on)))))) (. ?)))
