40906,"(81,)",but as you say we wanna get the tellies off him first don 't we ?,"[but/CC, as/IN, you/PRP, say/VBP, we/PRP, wanna/NNP, get/VB, the/DT, tellies/NNS, off/IN, him/PRP, first/RB, don/NNP, 't/PRP, we/PRP, ?/.]",(ROOT (FRAG (CC but) (SBAR (IN as) (S (NP (PRP you)) (VP (VBP say) (SBAR (S (NP (NP (PRP we)) (SBAR (S (NP (NNP wanna)) (VP (VB get) (NP (DT the) (NNS tellies)) (PP (IN off) (NP (PRP him)) (ADVP (RB first))))))) (VP (NNP don) (S (NP (PRP 't)) (NP (PRP we))))))))) (. ?)))
40906,"(82,)",Otherwise he can just give them with the bloody tellies or trying to buy them with the tellies and the dealers have a lovely time,"[Otherwise/RB, he/PRP, can/MD, just/RB, give/VB, them/PRP, with/IN, the/DT, bloody/JJ, tellies/NNS, or/CC, trying/VBG, to/TO, buy/VB, them/PRP, with/IN, the/DT, tellies/NNS, and/CC, the/DT, dealers/NNS, have/VBP, a/DT, lovely/JJ, time/NN]",(ROOT (NP (S (S (ADVP (RB Otherwise)) (NP (PRP he)) (VP (MD can) (ADVP (RB just)) (VP (VB give) (NP (PRP them)) (UCP (PP (IN with) (NP (DT the) (JJ bloody) (NNS tellies))) (CC or) (VP (VBG trying) (S (VP (TO to) (VP (VB buy) (NP (PRP them)) (PP (IN with) (NP (DT the) (NNS tellies))))))))))) (CC and) (S (NP (DT the) (NNS dealers)) (VP (VBP have) (NP (DT a) (JJ lovely) (NN time)))))))
40906,"(83,)",Well yes .,"[Well/RB, yes/RB, ./.]",(ROOT (FRAG (ADVP (RB Well)) (NP (RB yes)) (. .)))
40906,"(84,)",Well he could charge a tenner and the dealers would be happy wouldn 't they ?,"[Well/RB, he/PRP, could/MD, charge/VB, a/DT, tenner/NN, and/CC, the/DT, dealers/NNS, would/MD, be/VB, happy/JJ, wouldn/NN, 't/PRP, they/PRP, ?/.]",(ROOT (SINV (S (ADVP (RB Well)) (NP (PRP he)) (VP (MD could) (VP (VB charge) (NP (NP (DT a) (NN tenner)) (CC and) (NP (DT the) (NNS dealers)))))) (VP (MD would) (VP (VB be) (ADJP (JJ happy)) (NP (NP (NN wouldn)) (NP (PRP 't))))) (NP (PRP they)) (. ?)))
40906,"(85,)",Oh yeah .,"[Oh/UH, yeah/UH, ./.]",(ROOT (S (INTJ (UH Oh)) (VP (UH yeah)) (. .)))
40906,"(86,)",He would too .,"[He/PRP, would/MD, too/RB, ./.]",(ROOT (S (NP (PRP He)) (VP (MD would) (ADVP (RB too))) (. .)))
40906,"(87,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
40906,"(88,)",He 'd charge eight anyway .,"[He/PRP, 'd/MD, charge/VB, eight/CD, anyway/RB, ./.]",(ROOT (S (NP (PRP He)) (VP (MD 'd) (VP (VB charge) (NP (CD eight)) (ADVP (RB anyway)))) (. .)))
40906,"(89, 90, 91)","And he said er  these Toshiba tellies have a , a timer on  thirty sixty ninety one twenty","[And/CC, he/PRP, said/VBD, er/NN, these/DT, Toshiba/NNP, tellies/NNPS, have/VBP, a/DT, ,/,, a/DT, timer/NN, on/IN, thirty/CD, sixty/CD, ninety/CD, one/CD, twenty/CD]","(ROOT (S (CC And) (NP (PRP he)) (VP (VBD said) (NP (NP (NN er)) (SBAR (S (NP (DT these) (NNP Toshiba) (NNPS tellies)) (VP (VBP have) (NP (NP (DT a)) (, ,) (NP (NP (NP (DT a) (NN timer)) (PP (IN on) (NP (CD thirty) (CD sixty)))) (NP (NP (QP (CD ninety) (CD one))) (NP (CD twenty))))))))))))"
40906,"(92,)",Oh yeah,"[Oh/UH, yeah/UH]",(ROOT (INTJ (UH Oh) (UH yeah)))
